Component,Eigenvalue,ExplainedVariance,CumulativeVariance
37,3.14736,0.00665163,0.816625
37,2.91189,0.00615398,0.822779
37,2.90322,0.00613566,0.828915
37,2.7839,0.00588349,0.834799
37,2.75014,0.00581214,0.840611
37,2.54082,0.00536977,0.84598
37,2.35416,0.00497527,0.850956
37,2.21914,0.00468993,0.855646
37,2.14369,0.00453046,0.860176
37,2.0561,0.00434536,0.864521
37,1.97413,0.00417211,0.868694
38,68.9735,0.145768,0.145768
38,48.3839,0.102254,0.248023
38,38.3851,0.0811229,0.329146
38,32.8493,0.0694235,0.398569
38,25.9067,0.0547512,0.45332
38,18.3714,0.038826,0.492146
38,16.3101,0.0344698,0.526616
38,13.7162,0.0289878,0.555604
38,12.9422,0.0273519,0.582956
38,10.425,0.0220322,0.604988
38,10.1398,0.0214294,0.626418
38,9.4428,0.0199564,0.646374
38,8.78415,0.0185644,0.664938
38,8.20572,0.0173419,0.68228
38,7.45581,0.0157571,0.698037
38,6.53969,0.013821,0.711858
38,6.46997,0.0136736,0.725532
38,6.02989,0.0127436,0.738275
38,5.79834,0.0122542,0.75053
38,4.72617,0.00998828,0.760518
38,4.4378,0.00937883,0.769897
38,4.23813,0.00895686,0.778854
38,3.93646,0.00831929,0.787173
38,3.86972,0.00817825,0.795351
38,3.57162,0.00754826,0.802899
38,3.34735,0.00707429,0.809974
38,3.14736,0.00665163,0.816625
38,2.91189,0.00615398,0.822779
38,2.90322,0.00613566,0.828915
38,2.7839,0.00588349,0.834799
38,2.75014,0.00581214,0.840611
38,2.54082,0.00536977,0.84598
38,2.35416,0.00497527,0.850956
38,2.21914,0.00468993,0.855646
38,2.14369,0.00453046,0.860176
38,2.0561,0.00434536,0.864521
38,1.97413,0.00417211,0.868694
38,1.86562,0.00394279,0.872636
39,68.9735,0.145768,0.145768
39,48.3839,0.102254,0.248023
39,38.3851,0.0811229,0.329146
39,32.8493,0.0694235,0.398569
39,25.9067,0.0547512,0.45332
39,18.3714,0.038826,0.492146
39,16.3101,0.0344698,0.526616
39,13.7162,0.0289878,0.555604
39,12.9422,0.0273519,0.582956
39,10.425,0.0220322,0.604988
39,10.1398,0.0214294,0.626418
39,9.4428,0.0199564,0.646374
39,8.78415,0.0185644,0.664938
39,8.20572,0.0173419,0.68228
39,7.45581,0.0157571,0.698037
39,6.53969,0.013821,0.711858
39,6.46997,0.0136736,0.725532
39,6.02989,0.0127436,0.738275
39,5.79834,0.0122542,0.75053
39,4.72617,0.00998828,0.760518
39,4.4378,0.00937883,0.769897
39,4.23813,0.00895686,0.778854
39,3.93646,0.00831929,0.787173
39,3.86972,0.00817825,0.795351
39,3.57162,0.00754826,0.802899
39,3.34735,0.00707429,0.809974
39,3.14736,0.00665163,0.816625
39,2.91189,0.00615398,0.822779
39,2.90322,0.00613566,0.828915
39,2.7839,0.00588349,0.834799
39,2.75014,0.00581214,0.840611
39,2.54082,0.00536977,0.84598
39,2.35416,0.00497527,0.850956
39,2.21914,0.00468993,0.855646
39,2.14369,0.00453046,0.860176
39,2.0561,0.00434536,0.864521
39,1.97413,0.00417211,0.868694
39,1.86562,0.00394279,0.872636
39,1.7467,0.00369148,0.876328
40,68.9735,0.145768,0.145768
40,48.3839,0.102254,0.248023
